country,countryCode,year,value
Austria                                           ,AT,1990,1972.7
Austria                                           ,AT,1991,1994.1
Austria                                           ,AT,1992,2139.9
Austria                                           ,AT,1993,2115.1
Austria                                           ,AT,1994,2227.6
Austria                                           ,AT,1995,2557.8
Austria                                           ,AT,1996,2457.9
Austria                                           ,AT,1997,2164.8
Austria                                           ,AT,1998,2159.8
Austria                                           ,AT,1999,2124.4
Austria                                           ,AT,2000,1925.6
Austria                                           ,AT,2001,1788.8
Austria                                           ,AT,2002,1881.7
Austria                                           ,AT,2003,2382
Austria                                           ,AT,2004,2679.3
Austria                                           ,AT,2005,2686.2
Austria                                           ,AT,2006,2640.2
Austria                                           ,AT,2007,3499.8
Austria                                           ,AT,2008,3746.7
Austria                                           ,AT,2009,3334.8
Austria                                           ,AT,2010,3218.4
Austria                                           ,AT,2011,3409.7
Austria                                           ,AT,2012,3187.2
Austria                                           ,AT,2013,3229.1
Austria                                           ,AT,2014,3305.2
Austria                                           ,AT,2015,2665.4
Austria                                           ,AT,2016,2885.9
Austria                                           ,AT,2017,3138.4
Austria                                           ,AT,2018,3367.5
Belgium                                           ,BE,1990,4644.3
Belgium                                           ,BE,1991,4624.5
Belgium                                           ,BE,1992,4131.3
Belgium                                           ,BE,1993,3746
Belgium                                           ,BE,1994,3944.1
Belgium                                           ,BE,1995,4449
Belgium                                           ,BE,1996,4241.9
Belgium                                           ,BE,1997,3684.1
Belgium                                           ,BE,1998,3664.3
Belgium                                           ,BE,1999,3598.4
Belgium                                           ,BE,2000,3190.8
Belgium                                           ,BE,2001,3036
Belgium                                           ,BE,2002,3147.1
Belgium                                           ,BE,2003,3875.7
Belgium                                           ,BE,2004,4262.7
Belgium                                           ,BE,2005,4228.2
Belgium                                           ,BE,2006,4307.9
Belgium                                           ,BE,2007,5164
Belgium                                           ,BE,2008,6295.8
Belgium                                           ,BE,2009,5620.7
Belgium                                           ,BE,2010,5244.7
Belgium                                           ,BE,2011,5499.4
Belgium                                           ,BE,2012,5169
Belgium                                           ,BE,2013,5263.2
Belgium                                           ,BE,2014,5191.5
Belgium                                           ,BE,2015,4202.1
Belgium                                           ,BE,2016,4314.1
Belgium                                           ,BE,2017,4484.7
Belgium                                           ,BE,2018,4959.7
Bulgaria                                          ,BG,1990,794.5
Bulgaria                                          ,BG,1991,232.2
Bulgaria                                          ,BG,1992,255.8
Bulgaria                                          ,BG,1993,282.7
Bulgaria                                          ,BG,1994,242
Bulgaria                                          ,BG,1995,311.1
Bulgaria                                          ,BG,1996,213.6
Bulgaria                                          ,BG,1997,244.4
Bulgaria                                          ,BG,1998,320.4
Bulgaria                                          ,BG,1999,357.2
Bulgaria                                          ,BG,2000,351.3
Bulgaria                                          ,BG,2001,406
Bulgaria                                          ,BG,2002,456
Bulgaria                                          ,BG,2003,569.1
Bulgaria                                          ,BG,2004,650.7
Bulgaria                                          ,BG,2005,699.4
Bulgaria                                          ,BG,2006,751
Bulgaria                                          ,BG,2007,1032.2
Bulgaria                                          ,BG,2008,1038.1
Bulgaria                                          ,BG,2009,963.3
Bulgaria                                          ,BG,2010,893.5
Bulgaria                                          ,BG,2011,829
Bulgaria                                          ,BG,2012,807.5
Bulgaria                                          ,BG,2013,899.6
Bulgaria                                          ,BG,2014,835.7
Bulgaria                                          ,BG,2015,660.8
Bulgaria                                          ,BG,2016,755.4
Bulgaria                                          ,BG,2017,824.2
Bulgaria                                          ,BG,2018,1095.6
Croatia                                           ,HR,1990,782
Croatia                                           ,HR,1991,782
Croatia                                           ,HR,1992,782
Croatia                                           ,HR,1993,1168.9
Croatia                                           ,HR,1994,1625.2
Croatia                                           ,HR,1995,2060.4
Croatia                                           ,HR,1996,1938.7
Croatia                                           ,HR,1997,1797.2
Croatia                                           ,HR,1998,1427.3
Croatia                                           ,HR,1999,1035.9
Croatia                                           ,HR,2000,659.8
Croatia                                           ,HR,2001,629.5
Croatia                                           ,HR,2002,733.7
Croatia                                           ,HR,2003,709.4
Croatia                                           ,HR,2004,730.9
Croatia                                           ,HR,2005,799.2
Croatia                                           ,HR,2006,849.4
Croatia                                           ,HR,2007,978.9
Croatia                                           ,HR,2008,1296
Croatia                                           ,HR,2009,1129.1
Croatia                                           ,HR,2010,1015.9
Croatia                                           ,HR,2011,1106.5
Croatia                                           ,HR,2012,955.3
Croatia                                           ,HR,2013,957
Croatia                                           ,HR,2014,906.6
Croatia                                           ,HR,2015,753.5
Croatia                                           ,HR,2016,702
Croatia                                           ,HR,2017,784.3
Croatia                                           ,HR,2018,889.5
Cyprus                                            ,CY,1990,411.4
Cyprus                                            ,CY,1991,418.4
Cyprus                                            ,CY,1992,630.1
Cyprus                                            ,CY,1993,268.3
Cyprus                                            ,CY,1994,298.5
Cyprus                                            ,CY,1995,298.8
Cyprus                                            ,CY,1996,448.1
Cyprus                                            ,CY,1997,534.1
Cyprus                                            ,CY,1998,483.7
Cyprus                                            ,CY,1999,290
Cyprus                                            ,CY,2000,281.2
Cyprus                                            ,CY,2001,327.6
Cyprus                                            ,CY,2002,242.5
Cyprus                                            ,CY,2003,288.4
Cyprus                                            ,CY,2004,338.5
Cyprus                                            ,CY,2005,380.9
Cyprus                                            ,CY,2006,387.7
Cyprus                                            ,CY,2007,405.2
Cyprus                                            ,CY,2008,453.8
Cyprus                                            ,CY,2009,471.4
Cyprus                                            ,CY,2010,477.6
Cyprus                                            ,CY,2011,479.7
Cyprus                                            ,CY,2012,414.5
Cyprus                                            ,CY,2013,384.9
Cyprus                                            ,CY,2014,357.8
Cyprus                                            ,CY,2015,327.9
Cyprus                                            ,CY,2016,295.4
Cyprus                                            ,CY,2017,357.4
Cyprus                                            ,CY,2018,381.9
Czech Republic                                    ,CZ,1990,815.6
Czech Republic                                    ,CZ,1991,815.6
Czech Republic                                    ,CZ,1992,815.6
Czech Republic                                    ,CZ,1993,815.6
Czech Republic                                    ,CZ,1994,938.3
Czech Republic                                    ,CZ,1995,1065.4
Czech Republic                                    ,CZ,1996,1123.9
Czech Republic                                    ,CZ,1997,988.3
Czech Republic                                    ,CZ,1998,1166.1
Czech Republic                                    ,CZ,1999,1205.9
Czech Republic                                    ,CZ,2000,1157.3
Czech Republic                                    ,CZ,2001,1182.5
Czech Republic                                    ,CZ,2002,1494.4
Czech Republic                                    ,CZ,2003,1885.7
Czech Republic                                    ,CZ,2004,2042.1
Czech Republic                                    ,CZ,2005,2439.5
Czech Republic                                    ,CZ,2006,2450
Czech Republic                                    ,CZ,2007,2707.7
Czech Republic                                    ,CZ,2008,2918.7
Czech Republic                                    ,CZ,2009,2718.6
Czech Republic                                    ,CZ,2010,2497.9
Czech Republic                                    ,CZ,2011,2474.3
Czech Republic                                    ,CZ,2012,2220.6
Czech Republic                                    ,CZ,2013,2148.8
Czech Republic                                    ,CZ,2014,2022.9
Czech Republic                                    ,CZ,2015,1779.9
Czech Republic                                    ,CZ,2016,1954.9
Czech Republic                                    ,CZ,2017,2077.7
Czech Republic                                    ,CZ,2018,2710
Denmark                                           ,DK,1990,2649.9
Denmark                                           ,DK,1991,2671.9
Denmark                                           ,DK,1992,2837.7
Denmark                                           ,DK,1993,2682
Denmark                                           ,DK,1994,2718.8
Denmark                                           ,DK,1995,3118
Denmark                                           ,DK,1996,3086.2
Denmark                                           ,DK,1997,2804.3
Denmark                                           ,DK,1998,2846.1
Denmark                                           ,DK,1999,2784.9
Denmark                                           ,DK,2000,2392.5
Denmark                                           ,DK,2001,2525.2
Denmark                                           ,DK,2002,2694.1
Denmark                                           ,DK,2003,3199.2
Denmark                                           ,DK,2004,3578.8
Denmark                                           ,DK,2005,3468.5
Denmark                                           ,DK,2006,3896.7
Denmark                                           ,DK,2007,4175.7
Denmark                                           ,DK,2008,4788
Denmark                                           ,DK,2009,4337.4
Denmark                                           ,DK,2010,4503.5
Denmark                                           ,DK,2011,4518.6
Denmark                                           ,DK,2012,4422.5
Denmark                                           ,DK,2013,4216.6
Denmark                                           ,DK,2014,4056.9
Denmark                                           ,DK,2015,3364
Denmark                                           ,DK,2016,3592.7
Denmark                                           ,DK,2017,3764
Denmark                                           ,DK,2018,4228.2
Estonia                                           ,EE,1990,13.1
Estonia                                           ,EE,1991,13.1
Estonia                                           ,EE,1992,13.1
Estonia                                           ,EE,1993,13.1
Estonia                                           ,EE,1994,25.1
Estonia                                           ,EE,1995,36.3
Estonia                                           ,EE,1996,41.4
Estonia                                           ,EE,1997,53
Estonia                                           ,EE,1998,59.9
Estonia                                           ,EE,1999,73.8
Estonia                                           ,EE,2000,78.3
Estonia                                           ,EE,2001,93.8
Estonia                                           ,EE,2002,122.1
Estonia                                           ,EE,2003,171.4
Estonia                                           ,EE,2004,205
Estonia                                           ,EE,2005,266
Estonia                                           ,EE,2006,315.2
Estonia                                           ,EE,2007,444.2
Estonia                                           ,EE,2008,505.8
Estonia                                           ,EE,2009,434.3
Estonia                                           ,EE,2010,332.2
Estonia                                           ,EE,2011,389.2
Estonia                                           ,EE,2012,436.9
Estonia                                           ,EE,2013,479.3
Estonia                                           ,EE,2014,512.1
Estonia                                           ,EE,2015,463.6
Estonia                                           ,EE,2016,497.7
Estonia                                           ,EE,2017,537.4
Estonia                                           ,EE,2018,618.5
Finland                                           ,FI,1990,2141.3
Finland                                           ,FI,1991,2201
Finland                                           ,FI,1992,2076
Finland                                           ,FI,1993,1615.4
Finland                                           ,FI,1994,1756.3
Finland                                           ,FI,1995,1909
Finland                                           ,FI,1996,2021.8
Finland                                           ,FI,1997,1947
Finland                                           ,FI,1998,1959.7
Finland                                           ,FI,1999,1653.9
Finland                                           ,FI,2000,1558.1
Finland                                           ,FI,2001,1479.3
Finland                                           ,FI,2002,1611.4
Finland                                           ,FI,2003,2475.1
Finland                                           ,FI,2004,2892.9
Finland                                           ,FI,2005,2999.4
Finland                                           ,FI,2006,3128.5
Finland                                           ,FI,2007,3296.6
Finland                                           ,FI,2008,3958.1
Finland                                           ,FI,2009,3940.6
Finland                                           ,FI,2010,3717.2
Finland                                           ,FI,2011,4099.5
