country,Year,success,attackType,targetTypeTitle,targetType,targetSubtype,terroristGroup,numberKilled,numberWounded
United Kingdom      ,1990,1,Assassination                 ,TargetType,Business                      ,Unknown                                           ,Irish Republican Army (IRA)                       ,1,0
United Kingdom      ,1990,1,Assassination                 ,TargetType,Military                      ,Military Personnel                                ,Irish Republican Army (IRA)                       ,1,0
United Kingdom      ,1990,1,Assassination                 ,TargetType,Citizens & Property  ,Civilian                                          ,Protestant extremists                             ,1,0
France              ,1990,1,Bombing/Explosion             ,TargetType,Business                      ,Retail                                            ,Corsican National Liberation Front         ,0,0
France              ,1990,1,Bombing/Explosion             ,TargetType,Business                      ,Retail                                            ,Corsican National Liberation Front         ,0,0
United Kingdom      ,1990,1,Assassination                 ,TargetType,Military                      ,Military Personnel                                ,Irish Republican Army (IRA)                       ,1,0
United Kingdom      ,1990,0,Bombing/Explosion             ,TargetType,Police                        ,Police Personnel                              ,Irish Republican Army (IRA)                       ,0,2
Poland              ,1990,1,Bombing/Explosion             ,TargetType,Business                      ,Retail                                            ,Unknown                                           ,0,0
United Kingdom      ,1990,1,Bombing/Explosion             ,TargetType,Military                      ,Military Personnel                                ,Irish Republican Army (IRA)                       ,0,2
United Kingdom      ,1990,1,Bombing/Explosion             ,TargetType,Police                        ,Police Organizations                                            ,Irish Republican Army (IRA)                       ,0,1
Spain               ,1990,1,Bombing/Explosion             ,TargetType,Business                      ,Corporation                                       ,Basque Fatherland and Freedom (ETA)               ,0,0
United Kingdom      ,1990,0,Assassination                 ,TargetType,Military                      ,Military Personnel                                ,Irish Republican Army (IRA)                       ,0,0
Cyprus              ,1990,1,Assassination                 ,TargetType,Government                    ,Politician                                        ,Unknown                                           ,0,0
France              ,1990,1,Hostage Taking                ,TargetType,Business                      ,Tourism                                           ,Corsican National Liberation Front         ,0,0
United Kingdom      ,1990,0,Bombing/Explosion             ,TargetType,Military                      ,Military Personnel                                ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1990,1,Bombing/Explosion             ,TargetType,Police                        ,Police Organizations                                            ,Irish Republican Army (IRA)                       ,0,0
Spain               ,1990,1,Bombing/Explosion             ,TargetType,Business                      ,Corporation                                       ,Basque Fatherland and Freedom (ETA)               ,0,0
United Kingdom      ,1990,0,Assassination                 ,TargetType,Military                      ,Military                                          ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1990,0,Assassination                 ,TargetType,Military                      ,Military                                          ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1990,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,Civilian                                          ,Irish Republican Army (IRA)                       ,0,1
United Kingdom      ,1990,1,Bombing/Explosion             ,TargetType,Police                        ,Police Organizations                                            ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1990,0,Bombing/Explosion             ,TargetType,Military                      ,Military Personnel                                ,Irish Republican Army (IRA)                       ,0,1
United Kingdom      ,1990,1,Bombing/Explosion             ,TargetType,Business                      ,Entertainment                                     ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1990,1,Assassination                 ,TargetType,Police                        ,Police Personnel                              ,Irish Republican Army (IRA)                       ,1,0
United Kingdom      ,1990,0,Bombing/Explosion             ,TargetType,Citizens & Property  ,Monument                                          ,Irish Republican Army (IRA)                       ,0,0
Spain               ,1990,1,Bombing/Explosion             ,TargetType,Business                      ,Retail                                            ,Basque Fatherland and Freedom (ETA)               ,0,0
United Kingdom      ,1990,0,Assassination                 ,TargetType,Government                    ,Politician                                        ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1990,1,Bombing/Explosion             ,TargetType,Police                        ,Police Organizations                                            ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1990,0,Bombing/Explosion             ,TargetType,Military                      ,Military Personnel                                ,Irish Republican Army (IRA)                       ,1,8
United Kingdom      ,1990,0,Bombing/Explosion             ,TargetType,Business                      ,Entertainment                                     ,Irish Republican Army (IRA)                       ,0,0
Spain               ,1990,1,Assassination                 ,TargetType,Police                        ,Police Personnel                              ,Basque Fatherland and Freedom (ETA)               ,1,0
United Kingdom      ,1990,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,Monument                                          ,Irish Republican Army (IRA)                       ,0,0
Greece              ,1990,1,Assault                       ,TargetType,Citizens & Property  ,Monument                                          ,November 17 Revolutionary Organization (N17RO)    ,0,0
Greece              ,1990,1,Facility/Infrastructure       ,TargetType,Government                    ,Government Institutions                                        ,Social Resistance                                 ,0,0
Greece              ,1990,1,Facility/Infrastructure       ,TargetType,Citizens & Property  ,Unknown                                           ,Unknown                                           ,0,0
Spain               ,1990,0,Assassination                 ,TargetType,Police                        ,Police Personnel                              ,Basque Fatherland and Freedom (ETA)               ,0,0
Spain               ,1990,0,Bombing/Explosion             ,TargetType,Business                      ,Retail                                            ,Free Galician People's Guerrilla Army             ,0,0
Spain               ,1990,0,Bombing/Explosion             ,TargetType,Government                    ,Government Institutions                                        ,Basque Fatherland and Freedom (ETA)               ,0,0
United Kingdom      ,1990,1,Bombing/Explosion             ,TargetType,Airports & Aircraft           ,AirUnknown                                        ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1990,0,Bombing/Explosion             ,TargetType,Citizens & Property  ,Monument                                          ,Irish Republican Army (IRA)                       ,0,0
Greece              ,1990,1,Assault                       ,TargetType,Military                      ,Military                                          ,Anti-Authority Group (Greece)                     ,0,0
United Kingdom      ,1990,0,Facility/Infrastructure       ,TargetType,Business                      ,Construction                                      ,Meibion Glyndwr                                   ,0,0
United Kingdom      ,1990,0,Facility/Infrastructure       ,TargetType,Business                      ,Retail                                            ,Meibion Glyndwr                                   ,0,0
Greece              ,1990,1,Assassination                 ,TargetType,Police                        ,Police Personnel                              ,Revolutionary Solidarity                          ,1,0
United Kingdom      ,1990,1,Bombing/Explosion             ,TargetType,Military                      ,Military                                          ,Irish Republican Army (IRA)                       ,0,2
Belgium             ,1990,1,Assassination                 ,TargetType,Citizens & Property  ,Unknown                                           ,Unknown                                           ,1,0
United Kingdom      ,1990,1,Bombing/Explosion             ,TargetType,Military                      ,Military                                          ,Unknown                                           ,0,0
Spain               ,1990,0,Assassination                 ,TargetType,Government                    ,Organization                                      ,Basque Fatherland and Freedom (ETA)               ,0,0
Spain               ,1990,0,Assassination                 ,TargetType,Government                    ,Organization                                      ,Basque Fatherland and Freedom (ETA)               ,0,1
Spain               ,1990,0,Assassination                 ,TargetType,Military                      ,Military Personnel                                ,Basque Fatherland and Freedom (ETA)               ,0,0
Spain               ,1990,0,Assassination                 ,TargetType,Police                        ,Prison                                            ,Basque Fatherland and Freedom (ETA)               ,0,1
Spain               ,1990,0,Assassination                 ,TargetType,Military                      ,Military Personnel                                ,Basque Fatherland and Freedom (ETA)               ,0,1
Greece              ,1990,0,Bombing/Explosion             ,TargetType,Police                        ,Police Personnel                              ,Mikhail Kaltezas Anarchist Organization           ,0,0
Greece              ,1990,1,Bombing/Explosion             ,TargetType,Police                        ,Police Personnel                              ,Anarchists                                        ,0,0
Spain               ,1990,0,Assassination                 ,TargetType,Government                    ,Politician                                        ,Basque Fatherland and Freedom (ETA)               ,0,0
United Kingdom      ,1990,1,Assassination                 ,TargetType,Government                    ,Politician                                        ,Ulster Volunteer Force (UVF)                      ,1,0
United Kingdom      ,1990,1,Assassination                 ,TargetType,Citizens & Property  ,Civilian                                          ,Irish Republican Army (IRA)                       ,1,0
Spain               ,1990,1,Bombing/Explosion             ,TargetType,Government                    ,Organization                                      ,Terra Lliure                                      ,0,0
Spain               ,1990,1,Bombing/Explosion             ,TargetType,Government                    ,Organization                                      ,Terra Lliure                                      ,0,0
Spain               ,1990,1,Bombing/Explosion             ,TargetType,Government                    ,Organization                                      ,Terra Lliure                                      ,0,0
Sweden              ,1990,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,Unknown                                           ,Unknown                                           ,0,0
United Kingdom      ,1990,1,Assassination                 ,TargetType,Citizens & Property  ,Civilian                                          ,Protestant extremists                             ,1,0
Spain               ,1990,1,Assassination                 ,TargetType,Police                        ,Police Personnel                              ,Basque Fatherland and Freedom (ETA)               ,1,0
France              ,1990,1,Bombing/Explosion             ,TargetType,Government                    ,Embassy                                           ,Unknown                                           ,0,0
Greece              ,1990,0,Assassination                 ,TargetType,Business                      ,Corporation                                       ,Unknown                                           ,0,2
United Kingdom      ,1990,1,Bombing/Explosion             ,TargetType,Business                      ,Industrial                                        ,Irish Republican Army (IRA)                       ,0,0
Spain               ,1990,0,Bombing/Explosion             ,TargetType,Government                    ,Organization                                      ,Terra Lliure                                      ,0,1
United Kingdom      ,1990,1,Assassination                 ,TargetType,Citizens & Property  ,Civilian                                          ,Irish National Liberation Army (INLA)             ,1,0
